Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag umag gmag rmag imag zmag
0.011816 -0.100000 8.176090 0.450000 2.182281 0.450000 -1.554000 3.547700 4.788000 0 0.000000 0.545000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.718000 0.270000 0.002155 0.000581 0.005273  0.011980 8.656000 18.688339 16.639939 16.115239 15.661189 15.498939
0.011816 -0.100000 8.176090 0.500000 2.237454 0.500000 -1.392000 3.566300 4.747000 0 0.000000 0.545000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.718000 0.270000 0.002155 0.000581 0.005273  0.011980 8.251000 18.021339 15.995939 15.492239 15.177189 15.091939
0.011816 -0.100000 8.176090 0.507247 2.244802 0.507000 -1.366000 3.570600 4.744000 0 0.000000 0.545000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.718000 0.270000 0.002155 0.000581 0.005273  0.011980 8.185000 17.898339 15.875939 15.377239 15.093189 15.025939
0.011816 -0.100000 8.176090 0.542355 2.277226 0.542000 -1.262000 3.586500 4.732000 0 0.000000 0.545000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.718200 0.269800 0.002154 0.000581 0.005270  0.011980 7.924000 17.442339 15.429939 14.952239 14.775189 14.769939
0.011816 -0.100000 8.176090 0.550000 2.283658 0.550000 -1.249000 3.587800 4.730000 0 0.000000 0.545000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.718300 0.269800 0.002153 0.000581 0.005269  0.011960 7.893000 17.397339 15.385939 14.910239 14.740189 14.739939
0.011816 -0.100000 8.176090 0.556207 2.288732 0.556000 -1.234000 3.590000 4.729000 0 0.000000 0.545000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.718300 0.269800 0.002153 0.000581 0.005269  0.011950 7.855000 17.331339 15.321939 14.849239 14.694189 14.701939
0.011816 -0.100000 8.176090 0.590628 2.314653 0.590000 -1.143000 3.602300 4.713000 0 0.000000 0.545000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.718300 0.269800 0.002153 0.000581 0.005268  0.011940 7.627000 16.971339 14.965939 14.523239 14.433189 14.481939
0.011816 -0.100000 8.176090 0.600000 2.321121 0.600000 -1.113000 3.606600 4.708000 0 0.000000 0.545000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.718300 0.269800 0.002153 0.000581 0.005268  0.011930 7.554000 16.851339 14.846939 14.417239 14.350189 14.410939
0.011816 -0.100000 8.176090 0.650000 2.352035 0.650000 -0.954000 3.633800 4.692000 0 0.000000 0.545000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.718400 0.269700 0.002153 0.000581 0.005267  0.011930 7.155000 16.121339 14.149939 13.825239 13.890189 14.029939
0.011816 -0.100000 8.176090 0.700000 2.377927 0.700000 -0.801000 3.660900 4.679000 0 0.000000 0.545000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.718400 0.269600 0.002152 0.000581 0.005266  0.011980 6.772000 15.194339 13.438939 13.273239 13.457189 13.663939
0.011816 -0.100000 8.176090 0.750000 2.399889 0.750000 -0.657000 3.685600 4.665000 0 0.000000 0.538000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.718500 0.269500 0.002123 0.000580 0.005265  0.011930 6.413000 14.265339 12.819939 12.815239 13.067189 13.317939
0.011816 -0.100000 8.176090 0.750994 2.400292 0.751000 -0.655000 3.686000 4.664000 0 0.000000 0.538000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.718500 0.269500 0.002123 0.000580 0.005265  0.011930 6.406000 14.250339 12.809939 12.808239 13.060189 13.310939
0.011816 -0.100000 8.176090 0.798904 2.418341 0.799000 -0.531000 3.705400 4.644000 0 0.000000 0.538000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.718500 0.269500 0.002123 0.000580 0.005264  0.011980 6.096000 13.534339 12.334939 12.446239 12.739189 13.019939
0.011816 -0.100000 8.176090 0.847809 2.434366 0.847000 -0.411000 3.723600 4.623000 0 0.000000 0.538000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.718700 0.269400 0.002122 0.000579 0.005263  0.011930 5.797000 12.888339 11.907939 12.113239 12.439189 12.743939
0.011816 -0.100000 8.176090 0.896713 2.448398 0.896000 -0.297000 3.740100 4.599000 0 0.000000 0.538000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.718800 0.269200 0.002122 0.000579 0.005262  0.011980 5.512000 12.320339 11.524939 11.807239 12.160189 12.485939
0.011816 -0.100000 8.176090 0.945618 2.460775 0.945000 -0.190000 3.754700 4.574000 0 0.000000 0.538000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.718900 0.269100 0.002120 0.000579 0.005259  0.011960 5.245000 11.798339 11.184939 11.535239 11.911189 12.254939
0.011816 -0.100000 8.176090 0.994522 2.471762 0.994000 -0.084000 3.768000 4.544000 0 0.000000 0.538000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.719200 0.268900 0.002119 0.000579 0.005255  0.011960 4.980000 11.337339 10.859939 11.271239 11.667189 12.025939
0.011816 -0.100000 8.176090 1.043427 2.481573 1.043000 0.016000 3.780100 4.512000 0 0.000000 0.538000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.719400 0.268700 0.002117 0.000578 0.005250  0.011920 4.730000 10.930339 10.559939 11.024239 11.440189 11.813939
0.011816 -0.100000 8.176090 1.092331 2.490380 1.092000 0.112000 3.791000 4.480000 0 0.000000 0.538000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.719900 0.268200 0.002113 0.000577 0.005241  0.011940 4.490000 10.583339 10.281939 10.793239 11.225189 11.610939
0.011816 -0.100000 8.176090 1.141236 2.498326 1.140000 0.204000 3.801000 4.447000 1 0.000000 0.537000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.720400 0.267800 0.002111 0.000576 0.005237  0.011880 4.261000 10.272339 10.019939 10.572239 11.020189 11.416939
0.011816 -0.100000 8.176090 1.190140 2.505525 1.189000 0.292000 3.810700 4.416000 1 0.000000 0.538000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.720300 0.267800 0.002112 0.000577 0.005239  0.011900 4.040000 9.988339 9.769939 10.361239 10.824189 11.230939
0.011816 -0.100000 8.176090 1.236218 2.511712 1.236000 0.371000 3.819700 4.389000 1 0.000000 0.537000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.720400 0.267700 0.002111 0.000577 0.005238  0.011890 3.842000 9.750339 9.545939 10.170239 10.648189 11.064939
