x,y,g_inst,g_err,r_inst,r_err,g_minus_r,ra,dec
1739.909424783722,534.9315199752507,-16.10463098668369,0.0006599212902259577,-15.788818121088026,0.0007603637390410328,-0.31581286559566557,40.38308831095794,42.5940926027774
1237.9528290716673,1081.9836869943765,-16.158361924985414,0.0006447090283156775,-15.818747264376675,0.0007506108519640648,-0.33961466060873846,40.52424646825692,42.707352809216914
1371.912574459812,1479.9395266328236,-16.08470959678247,0.0006664111587235273,-15.742377549420922,0.0007773121357291536,-0.3423320473615483,40.48650874571176,42.78971106618661
647.9825820056383,1628.004634394811,-16.182563767728176,0.0006373346138405394,-15.81923692266055,0.0007511024128597723,-0.36332684506762547,40.69075175580226,42.82018633233686
1493.982954616565,1387.6011285267239,-15.895708688700427,0.0007248354284332356,-15.533915282194307,0.000853904270768139,-0.3617934065061199,40.45209844399112,42.77059437293968
1495.2017200013383,1386.812066781644,-15.890101706587767,0.0007270312533034268,-15.533915282194307,0.000853904270768139,-0.35618642439346004,40.45175497530612,42.770430951497815
1112.2273873150639,1851.3749458999416,-15.749540677939155,0.0007742575415563945,-15.387777119142765,0.0009126797537503679,-0.3617635587963903,40.55981965506794,42.86655968856702
1348.0748329705982,1489.0201698718854,-16.088746120542982,0.0006659431363374335,-15.760809140057766,0.0007709717316632963,-0.3279369804852159,40.49323088172212,42.79159056875177
1124.958147621923,1422.9645238636622,-15.961934645905401,0.0007034067791257467,-15.612441081877254,0.0008239794634652722,-0.3494935640281476,40.55613779407038,42.777904563044665
791.4439573372237,521.3828127023457,-16.29305129477904,0.0006088232068384316,-16.00483097727176,0.0007047005454797263,-0.2882203175072817,40.64970475450355,42.59123930429979
1298.5345803613534,1280.2903888152457,-15.524070111880565,0.0008580601878112196,-15.218022467518148,0.0009861607236808269,-0.30604764436241716,40.50719316889338,42.748394419362924
1741.8501847974183,536.2392954807414,-16.08246397119479,0.0006676278506726372,-15.788818121088026,0.0007603637390410328,-0.29364585010676514,40.38254225499099,42.59436270545014
1347.2336133031977,1490.9047879002537,-16.11091662428172,0.0006586565898520574,-15.766795121012462,0.000768921170731997,-0.3441215032692586,40.493468100511535,42.79198058419722
1372.1438104578096,1480.9413485725781,-16.090312644913325,0.0006647957478944992,-15.742377549420922,0.0007773121357291536,-0.347935095492403,40.48644350847121,42.789918382926835
920.9676908469185,1327.3779323825877,-15.755385931135802,0.0007721168255403319,-15.411607607071725,0.0009026006770466848,-0.34377832406407727,40.613613862094525,42.75807855722224
1373.9061237203339,1481.2177472401204,-16.059450742650874,0.0006752191031861012,-15.742377549420922,0.0007773121357291536,-0.31707319322995176,40.485946529586435,42.789975543197755
1131.7290153966474,1043.5049683518473,-16.229247296945932,0.0006292031340125727,-15.915922552722105,0.0007198313166197136,-0.31332474422382717,40.554154037744475,42.69937837250283
2170.541468071732,2038.0593122043683,-15.534532846446606,0.0008537030312131432,-15.395969433084375,0.0009095785535563573,-0.1385634133622311,40.26086194161756,42.90497176165043
58.75956668794089,1402.0996014740588,-15.622634886212337,0.0008199247217502615,-15.28721181228315,0.000955795599141631,-0.3354230739291868,40.856717311122196,42.7730342617442
1373.1389283269557,1479.2134372641403,-16.06970280482048,0.0006714365011856213,-15.742377549420922,0.0007773121357291536,-0.3273252553995576,40.48616293825922,42.78956077919171
2050.3292602182746,942.193738030808,-15.599765376810312,0.0008521713856056973,-15.234892202041308,0.001010795244923065,-0.36487317476900394,40.29555615533747,42.67825449113886
1239.872552699674,1081.127527144844,-16.140303057597784,0.0006508599267087027,-15.783093890668049,0.0007631134572682817,-0.35720916692973503,40.52370574703346,42.70717576694662
1168.272506955319,1685.6658321705218,-15.224514467432906,0.0009838184521504922,-15.448567508003496,0.0008876004174110228,0.22405304057059006,40.54396837259294,42.832274984199444
997.8631052376011,1338.0202233851708,-15.932587487632762,0.0007145157199751526,-15.580843341329302,0.0008393663480439231,-0.35174414630346007,40.59194403752557,42.76030121072152
663.4371346165603,1646.9243267138163,-15.213930645365734,0.0009926683625217185,-14.908902326756282,0.001140067662842338,-0.3050283186094518,40.68640357561452,42.824108974712566
922.0232422422996,1327.0146448631483,-15.750988410402154,0.000773853302194148,-15.409916440568047,0.0009033271430787276,-0.3410719698341076,40.6133162078384,42.75800368300915
1902.045039965859,1906.8399910055934,-15.196547442345603,0.0009963934562993522,-14.940572595835208,0.001119512734946249,-0.25597484651039437,40.33678722631421,42.87794666870253
794.6548000132389,521.8893577233496,-16.254706891735022,0.0006215700185502119,-15.5360515180278,0.0009058623325575113,-0.7186553737072217,40.64880245655324,42.59134534053128
1348.6412658199006,1491.0710789961852,-16.084857568005976,0.0006675758804156079,-15.760809140057766,0.0007709717316632963,-0.32404842794820965,40.493071129651916,42.792014990562855
793.7510956142091,519.4246301902963,-16.27731473651293,0.0006143179065424958,-16.046135623641316,0.0006876426763189997,-0.2311791128716152,40.64905522248707,42.59083494227597
1740.996289239026,534.3857985578776,-16.09683656348794,0.0006626571607102165,-15.788818121088026,0.0007603637390410328,-0.3080184423999146,40.38278298744707,42.59397937159144
1265.8993051797538,307.3425664375451,-15.459497370813171,0.0008834222579939477,-15.130018423395162,0.001026619982841777,-0.32947894741800887,40.51632140336567,42.54704714603144
1111.021324967948,1851.2442411913448,-15.75610004763308,0.0007716332035807672,-15.387777119142765,0.0009126797537503679,-0.3683229284903149,40.56016015609208,42.86653244823384
555.5266739077039,626.0320632175243,-15.205498339346741,0.0009932541257661794,-14.91103288683157,0.0011365425240854811,-0.29446545251517087,40.71609706789122,42.61278738678452
