Zini MH logAge Mini int_IMF Mass logL logTe logg label McoreTP C_O period0 period1 period2 period3 period4 pmode Mloss tau1m X Y Xc Xn Xo Cexcess Z mbolmag umag gmag rmag imag zmag
0.000100 -2.191740 10.113940 0.634369 2.342972 0.634000 -0.429000 3.754500 4.639000 1 0.000000 0.543000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.814600 0.185300 0.000014 0.000004 0.000034  0.000071 5.842000 22.680829 21.768669 21.282589 21.090629 21.016249
0.000100 -2.191740 10.113940 0.644175 2.348717 0.644000 -0.382000 3.760200 4.621000 1 0.000000 0.542000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.818800 0.181100 0.000013 0.000004 0.000033  0.000042 5.725000 22.516829 21.631669 21.167589 20.985629 20.918249
0.000100 -2.191740 10.113940 0.650000 2.352035 0.650000 -0.353000 3.763500 4.610000 1 0.000000 0.542000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.821400 0.178500 0.000013 0.000004 0.000033  0.000100 5.654000 22.424829 21.551669 21.098589 20.922629 20.859249
0.000100 -2.191740 10.113940 0.653717 2.354117 0.653000 -0.335000 3.765500 4.603000 1 0.000000 0.542000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.823400 0.176500 0.000013 0.000004 0.000032  0.000100 5.608000 22.365829 21.499669 21.054589 20.881629 20.820249
0.000100 -2.191740 10.113940 0.663233 2.359325 0.663000 -0.287000 3.770800 4.582000 1 0.000000 0.542000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.828900 0.171000 0.000013 0.000003 0.000032  0.000100 5.488000 22.212829 21.364669 20.938589 20.773629 20.719249
0.000100 -2.191740 10.113940 0.672318 2.364139 0.672000 -0.240000 3.775700 4.560000 1 0.000000 0.541000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.834500 0.165400 0.000012 0.000003 0.000031  0.000100 5.370000 22.068829 21.234669 20.824589 20.668629 20.619249
0.000100 -2.191740 10.113940 0.680379 2.368288 0.680000 -0.197000 3.780100 4.540000 1 0.000000 0.541000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.839800 0.160200 0.000012 0.000003 0.000030  0.000058 5.262000 21.937829 21.114669 20.720589 20.570629 20.526249
0.000100 -2.191740 10.113940 0.688190 2.372201 0.688000 -0.153000 3.784300 4.518000 1 0.000000 0.540000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.845100 0.154800 0.000012 0.000003 0.000029  0.000028 5.153000 21.810829 20.994669 20.615589 20.472629 20.433249
0.000100 -2.191740 10.113940 0.697435 2.376702 0.697000 -0.099000 3.789300 4.489000 1 0.000000 0.540000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.851600 0.148400 0.000011 0.000003 0.000028  0.000058 5.018000 21.655829 20.846669 20.484589 20.350629 20.316249
0.000100 -2.191740 10.113940 0.700000 2.377927 0.700000 -0.084000 3.790600 4.481000 1 0.000000 0.540000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.853300 0.146600 0.000011 0.000003 0.000028  0.000082 4.979000 21.611829 20.803669 20.446589 20.315629 20.283249
0.000100 -2.191740 10.113940 0.701722 2.378743 0.701000 -0.073000 3.791500 4.475000 1 0.000000 0.539000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.854200 0.145700 0.000011 0.000003 0.000028  0.000096 4.953000 21.583829 20.775669 20.421589 20.291629 20.260249
0.000100 -2.191740 10.113940 0.709922 2.382568 0.709000 -0.020000 3.795600 4.444000 1 0.000000 0.537000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.858100 0.141900 0.000011 0.000003 0.000027  0.000062 4.821000 21.439829 20.631669 20.292589 20.169629 20.143249
0.000100 -2.191740 10.113940 0.716962 2.385772 0.716000 0.028000 3.799100 4.414000 1 0.000000 0.535000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.861000 0.138900 0.000011 0.000003 0.000027  0.000026 4.701000 21.311829 20.502669 20.174589 20.057629 20.035249
0.000100 -2.191740 10.113940 0.723779 2.388807 0.723000 0.077000 3.802300 4.381000 1 0.000000 0.534000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.863600 0.136300 0.000011 0.000003 0.000027  0.000100 4.576000 21.181829 20.368669 20.052589 19.940629 19.922249
0.000100 -2.191740 10.113940 0.730595 2.391776 0.730000 0.131000 3.805400 4.343000 1 0.000000 0.532000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.865900 0.134000 0.000011 0.000003 0.000026  0.000100 4.442000 21.042829 20.224669 19.918589 19.812629 19.798249
0.000100 -2.191740 10.113940 0.738469 2.395127 0.738000 0.200000 3.808700 4.293000 1 0.000000 0.531000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.868300 0.131600 0.000010 0.000003 0.000026  0.000063 4.270000 20.868829 20.041669 19.748589 19.648629 19.637249
0.000100 -2.191740 10.113940 0.745826 2.398185 0.745000 0.272000 3.811300 4.235000 1 0.000000 0.529000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.870400 0.129500 0.000010 0.000003 0.000026  0.000067 4.090000 20.690829 19.852669 19.568589 19.473629 19.466249
0.000100 -2.191740 10.113940 0.750000 2.399889 0.749000 0.316000 3.812400 4.198000 1 0.000000 0.528000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.871300 0.128600 0.000010 0.000003 0.000026  0.000100 3.979000 20.581829 19.735669 19.457589 19.364629 19.358249
0.000100 -2.191740 10.113940 0.752597 2.400938 0.752000 0.344000 3.813200 4.174000 1 0.000000 0.528000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.870800 0.129100 0.000010 0.000003 0.000026  0.000100 3.909000 20.512829 19.662669 19.387589 19.295629 19.291249
0.000100 -2.191740 10.113940 0.756677 2.402570 0.756000 0.393000 3.813700 4.131000 1 0.000000 0.528000 0.000000 0.000000 0.000000 0.000000 0.000000  -0.000000 0.000000 0.869500 0.130400 0.000010 0.000003 0.000026  0.000100 3.789000 20.395829 19.538669 19.265589 19.175629 19.171249
